星露谷_特质_初始星露谷_PerkDescription,"从鹈鹕镇中爷爷留下的农场中开始",
星露谷_特质_初始星露谷_PerkName,"初始星露谷",
星露谷_环境_农场_CardDescription,"A place to call home.",
星露谷_环境_农场_CardName,"Mud Hut",
星露谷_季节参考_GameName,"Seasons",
星露谷_季节参考_NotEnoughText,"Feature not implemented yet.",
星露谷_季节参考_Statuses[0].GameName,"Helpful Rain",
星露谷_季节参考_Statuses[1].GameName,"Wet Season",
星露谷_季节参考_Statuses[2].GameName,"Dry Season",
星露谷_74b3796178231524db5782fcd9c06b79_Statuses[0].GameName,"Helpful Rain",
星露谷_状态栏_季节_GameName,"季节",
星露谷_状态栏_季节_NotEnoughText,"Feature not implemented yet.",
星露谷_状态栏_季节_Statuses[0].GameName,"春季",
星露谷_状态栏_季节_Statuses[1].GameName,"夏季",
星露谷_状态栏_季节_Statuses[2].GameName,"秋季",
星露谷_状态栏_季节_Statuses[3].GameName,"冬季",
星露谷_阴天模板_CardDescription,"It's quite cloudy. Hopefully it will rain.",
星露谷_阴天模板_CardName,"Cloudy",
星露谷_晴天_CardDescription,"全天都会风和日丽，万里无云。",
星露谷_晴天_CardName,"晴天",
星露谷_天气_雨天_CardDescription,"今天全天有雨",
星露谷_天气_雨天_CardName,"雨天",
星露谷_天气_微风（春季）_CardDescription,"部分地区多云，并伴有微风。空气中会有大量花粉！",
星露谷_天气_微风（春季）_CardName,"微风（春季）",
星露谷_天气_微风（秋季）_CardDescription,"今天多云，一整天都会狂风大作。",
星露谷_天气_微风（秋季）_CardName,"微风（秋季）",
星露谷_天气_雷雨_CardDescription,"好像有场风暴正在接近。预计将会有雷电。",
星露谷_天气_雷雨_CardName,"雷雨",
星露谷_风暴模板_CardDescription,"I should stay away from the coast and seek shelter.",
星露谷_风暴模板_CardName,"Storm",
星露谷_天气_苔雨_CardDescription,"额......读数好像有点......异常......我......我不知道是什么意思......",
星露谷_天气_苔雨_CardName,"苔雨",
星露谷_天气_下雪_CardDescription,"今天的降雪可能会达到几英尺。",
星露谷_天气_下雪_CardName,"下雪",
星露谷_天气_节日_CardDescription,"今天是个大晴天……对节日来说将是完美的天气！",
星露谷_天气_节日_CardName,"节日",
星露谷_天气_婚礼_CardDescription,"今天是婚礼，多么晴朗的一天！",
星露谷_天气_婚礼_CardName,"婚礼",
星露谷_状态栏_求婚_GameName,"求婚",
星露谷_状态栏_求婚_NotEnoughText,"I haven't mustered enough courage yet...",
星露谷_天气_春季_晴天_CardDescription,"今天又是美好的一天~",
星露谷_天气_春季_晴天_CardName,"        晴天",
星露谷_天气_春季_雷雨_CardDescription,"风暴将至，以雷霆击碎黑暗！",
星露谷_天气_春季_雷雨_CardName,"        雷雨",
星露谷_天气_春季_苔雨_CardDescription,"绿色的雨？真是罕见啊...",
星露谷_天气_春季_苔雨_CardName,"        苔雨",
星露谷_天气_春季_微风（春季）_CardDescription,"今天的风好柔和~阿嚏！我有点花粉过敏...",
星露谷_天气_春季_微风（春季）_CardName,"微风（春季）",
星露谷_天气_春季_雨天_CardDescription,"果然下雨会让人EMO...",
星露谷_天气_春季_雨天_CardName,"        雨天",
星露谷_天气_春季_婚礼_CardDescription,"今天是婚礼，多么晴朗的一天！",
星露谷_天气_春季_婚礼_CardName,"        婚礼",
星露谷_天气_春季_节日_CardDescription,"今天是个大晴天……对节日来说将是完美的天气！",
星露谷_天气_春季_节日_CardName,"        节日",
星露谷_大雨模板_CardDescription,"It's raining heavily. I should make sure I have shelter and store water for the coming days.",
星露谷_大雨模板_CardName,"Heavy Rain",
星露谷_雷雨模板_CardDescription,"I should stay away from the coast and seek shelter.",
星露谷_雷雨模板_CardName,"Storm",
星露谷_血压模板_Description,"Drops when you are losing blood and kills you when it reaches 0. Use Tourniquets and dressings to help recover pressure.",
星露谷_血压模板_GameName,"Blood Pressure",
星露谷_血压模板_NotEnoughText,"It's to dark for this action...",
星露谷_血压模板_Statuses[1].Description,"I feel dizzy...",
星露谷_血压模板_Statuses[1].GameName,"Low Blood Pressure",
星露谷_血压模板_Statuses[2].Description,"I think I'm going to faint...",
星露谷_血压模板_Statuses[2].GameName,"Low Blood Pressure",
星露谷_血压模板_Statuses[3].Description,"You bled out....",
星露谷_血压模板_Statuses[3].GameName,"Dead of Blood Loss",
星露谷_饱食模板_Description,"Shows how hungry you are and lowers your morale when low.",
星露谷_饱食模板_GameName,"Satiation",
星露谷_饱食模板_Statuses[0].Description,"I ate too much, I'm going to throw up.",
星露谷_饱食模板_Statuses[0].GameName,"Sick",
星露谷_饱食模板_Statuses[1].Description,"I think I might have eaten a bit too much.",
星露谷_饱食模板_Statuses[1].GameName,"Very Full",
星露谷_饱食模板_Statuses[2].Description,"I'm feeling full.",
星露谷_饱食模板_Statuses[2].GameName,"Full",
星露谷_饱食模板_Statuses[3].Description,"I'm feeling a bit peckish",
星露谷_饱食模板_Statuses[3].GameName,"Slightly Hungry",
星露谷_饱食模板_Statuses[4].Description,"I want to eat something",
星露谷_饱食模板_Statuses[4].GameName,"Hungry",
星露谷_饱食模板_Statuses[5].Description,"I need to eat something",
星露谷_饱食模板_Statuses[5].GameName,"Very Hungry",
星露谷_饱食模板_Statuses[6].Description,"I really need to eat something",
星露谷_饱食模板_Statuses[6].GameName,"Ravenous",
星露谷_雨水计数器模板_GameName,"Rain Counter",
星露谷_原版状态栏_PerkDescription,"恢复原版的所有状态栏",
星露谷_原版状态栏_PerkName,"原版状态栏",
星露谷_模板祖父_CardDescription,"Your grandfather is sick. You should provide him with food and drink.",
星露谷_模板祖父_CardInteractions[0].ActionName,"Feed",
星露谷_模板祖父_CardInteractions[0].RequiredReceivingDurabilities.FailMessage,"Not hungry yet.",
星露谷_模板祖父_CardInteractions[1].ActionName,"Feed",
星露谷_模板祖父_CardInteractions[1].RequiredReceivingDurabilities.FailMessage,"Not hungry yet.",
星露谷_模板祖父_CardInteractions[2].ActionName,"Feed",
星露谷_模板祖父_CardInteractions[2].RequiredReceivingDurabilities.FailMessage,"Not hungry yet.",
星露谷_模板祖父_CardInteractions[3].ActionName,"Hydrate",
星露谷_模板祖父_CardInteractions[3].RequiredReceivingDurabilities.FailMessage,"Not thirsty yet.",
星露谷_模板祖父_CardInteractions[4].ActionName,"Give Medicine",
星露谷_模板祖父_CardInteractions[4].RequiredReceivingDurabilities.FailMessage,"Not thirsty yet.",
星露谷_模板祖父_CardName,"Grandfather",
星露谷_模板祖父_DismantleActions[0].ActionName,"Hang Out",
星露谷_模板祖父_FuelCapacity.CardStatName,"Health",
星露谷_模板祖父_FuelCapacity.OnZero.ActionDescription,"Your Grandfather has died.....",
星露谷_模板祖父_FuelCapacity.OnZero.ActionName,"Tragedy!",
星露谷_模板祖父_Progress.CardStatName,"Morale",
星露谷_模板祖父_Progress.OnFull.ActionDescription,"Your grandfather has recovered!",
星露谷_模板祖父_Progress.OnFull.ActionName,"Grandpa's Back",
星露谷_模板祖父_SpecialDurability1.CardStatName,"Medicine",
星露谷_模板祖父_SpecialDurability4.CardStatName,"Poop",
星露谷_模板祖父_SpoilageTime.CardStatName,"Hunger",
星露谷_模板祖父_SpoilageTime.OnZero.ActionDescription,"Your Grandfather has died.....",
星露谷_模板祖父_SpoilageTime.OnZero.ActionName,"Tragedy!",
星露谷_模板祖父_UsageDurability.CardStatName,"Thirst",
星露谷_模板祖父_UsageDurability.OnZero.ActionDescription,"Your Grandfather has died.....",
星露谷_模板祖父_UsageDurability.OnZero.ActionName,"Tragedy!",
星露谷_天气_秋季_微风（秋季）_CardDescription,"今天多云，一整天都会狂风大作。",
星露谷_天气_秋季_微风（秋季）_CardName,"微风（秋季）",
星露谷_天气_秋季_微风_CardName,"微风（秋季）",
星露谷_天气_春季_微风_CardName,"微风（春季）",
星露谷_状态栏_能量_Description,"",
星露谷_状态栏_能量_GameName,"能量",
星露谷_状态栏_生命_Description,"",
星露谷_状态栏_生命_GameName,"生命",
星露谷_状态栏_生命_Statuses[0].GameName,"I'm so sick of eating Crustaceans...",
星露谷_状态栏_生命_Statuses[1].GameName,"I'm a bit tired of eating Crustaceans...",
星露谷_物品_单人床_CardDescription,"梦开始的地方...",
星露谷_物品_单人床_CardName,"单人床",
星露谷_物品_单人床_DismantleActions[0].ActionName,"Nap",
星露谷_物品_单人床_DismantleActions[0].FadeMessage,"Taking a nap...",
星露谷_物品_单人床_DismantleActions[0].StatInterruptions[1].Notification,"I'm too thirsty to sleep...",
星露谷_物品_单人床_DismantleActions[0].StatInterruptions[2].Notification,"I'm too hot to sleep...",
星露谷_物品_单人床_DismantleActions[0].StatInterruptions[3].Notification,"I'm too cold to sleep...",
星露谷_物品_单人床_DismantleActions[0].StatInterruptions[4].Notification,"I'm losing too much blood...",
星露谷_物品_单人床_DismantleActions[0].StatInterruptions[5].Notification,"I'm not feeling well...",
星露谷_物品_单人床_DismantleActions[0].StatInterruptions[6].Notification,"I'm not feeling well...",
星露谷_物品_单人床_DismantleActions[1].ActionName,"Nap",
星露谷_物品_单人床_DismantleActions[1].FadeMessage,"Taking a nap...",
星露谷_物品_单人床_DismantleActions[1].StatInterruptions[1].Notification,"I'm too thirsty to sleep...",
星露谷_物品_单人床_DismantleActions[1].StatInterruptions[2].Notification,"I'm too hot to sleep...",
星露谷_物品_单人床_DismantleActions[1].StatInterruptions[3].Notification,"I'm too cold to sleep...",
星露谷_物品_单人床_DismantleActions[1].StatInterruptions[4].Notification,"I'm losing too much blood...",
星露谷_物品_单人床_DismantleActions[1].StatInterruptions[5].Notification,"I'm not feeling well...",
星露谷_物品_单人床_DismantleActions[1].StatInterruptions[6].Notification,"I'm not feeling well...",
星露谷_物品_单人床_DismantleActions[2].ActionName,"Sleep",
星露谷_模板木床_CardDescription,"A nice and comfortable wooden bed. My back will thank me.",
星露谷_模板木床_CardName,"Wooden Bed",
星露谷_模板木床_DismantleActions[0].ActionName,"Nap",
星露谷_模板木床_DismantleActions[0].FadeMessage,"Taking a nap...",
星露谷_模板木床_DismantleActions[0].StatInterruptions[1].Notification,"I'm too thirsty to sleep...",
星露谷_模板木床_DismantleActions[0].StatInterruptions[2].Notification,"I'm too hot to sleep...",
星露谷_模板木床_DismantleActions[0].StatInterruptions[3].Notification,"I'm too cold to sleep...",
星露谷_模板木床_DismantleActions[0].StatInterruptions[4].Notification,"I'm losing too much blood...",
星露谷_模板木床_DismantleActions[0].StatInterruptions[5].Notification,"I'm not feeling well...",
星露谷_模板木床_DismantleActions[0].StatInterruptions[6].Notification,"I'm not feeling well...",
星露谷_模板木床_DismantleActions[1].ActionName,"Sleep",
星露谷_模板木床_DismantleActions[1].FadeMessage,"Sleeping...",
星露谷_模板木床_DismantleActions[1].StatInterruptions[1].Notification,"I'm too thirsty to sleep...",
星露谷_模板木床_DismantleActions[1].StatInterruptions[2].Notification,"I'm too hot to sleep...",
星露谷_模板木床_DismantleActions[1].StatInterruptions[3].Notification,"I'm too cold to sleep...",
星露谷_模板木床_DismantleActions[1].StatInterruptions[4].Notification,"I'm losing too much blood...",
星露谷_模板木床_DismantleActions[1].StatInterruptions[5].Notification,"I'm not feeling well...",
星露谷_模板木床_DismantleActions[1].StatInterruptions[6].Notification,"I'm not feeling well...",
星露谷_模板木床_DismantleActions[2].ActionName,"Take apart and Pick Up",
星露谷_物品_单人床_DismantleActions[2].FadeMessage,"Sleeping...",
星露谷_物品_单人床_DismantleActions[2].StatInterruptions[1].Notification,"I'm too thirsty to sleep...",
星露谷_物品_单人床_DismantleActions[2].StatInterruptions[2].Notification,"I'm too hot to sleep...",
星露谷_物品_单人床_DismantleActions[2].StatInterruptions[3].Notification,"I'm too cold to sleep...",
星露谷_物品_单人床_DismantleActions[2].StatInterruptions[4].Notification,"I'm losing too much blood...",
星露谷_物品_单人床_DismantleActions[2].StatInterruptions[5].Notification,"I'm not feeling well...",
星露谷_物品_单人床_DismantleActions[2].StatInterruptions[6].Notification,"I'm not feeling well...",
星露谷_物品_单人床_DismantleActions[3].ActionName,"Take apart and Pick Up",
星露谷_状态栏_雨水计数器_GameName,"雨水",
星露谷_状态栏_雨水_GameName,"雨水",
